Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
CASE_1/900,False,01,1037,1.170902,3.574713,2.196541,15.906808,16.26143,16.016829
CASE_1/900,False,01,1066,15.906809,16.261431,16.015004,1.170901,3.574713,2.196785
CASE_1/900,False,01,1049,3.573117,1.170328,2.195089,16.26108,15.906766,16.016829
CASE_1/900,False,01,1068,16.26108,15.906767,16.014805,3.573116,1.170327,2.196787
CASE_2/900,False,01,1037,1.237238,3.512594,2.16438,15.804618,16.142909,15.90591
CASE_2/900,False,01,1066,15.804619,16.14291,15.90408,1.237238,3.512594,2.164756
CASE_2/900,False,01,1049,3.511018,1.236831,2.162984,16.142566,15.804586,15.905911
CASE_2/900,False,01,1068,16.142567,15.804587,15.90389,3.511018,1.23683,2.164758
CASE_3/900,False,01,1037,1.315487,3.455151,2.141095,15.703036,16.024759,15.795479
CASE_3/900,False,01,1066,15.703037,16.02476,15.793643,1.315486,3.455151,2.141605
CASE_3/900,False,01,1049,3.453597,1.315232,2.139762,16.024424,15.703015,15.795479
CASE_3/900,False,01,1068,16.024425,15.703016,15.793462,3.453596,1.315231,2.141607
CASE_4/900,False,01,1022,1.403658,3.402619,2.126978,15.602075,15.906989,15.685546
CASE_4/900,False,01,1060,15.602076,15.90699,15.683704,1.403657,3.402619,2.127622
CASE_4/900,False,01,1038,3.40109,1.403538,2.125716,15.906662,15.602064,15.685546
CASE_4/900,False,01,1059,15.906663,15.602065,15.683532,3.40109,1.403537,2.127624
CASE_5/900,False,01,1022,1.500001,3.355229,2.122212,15.501747,15.789608,15.57612
CASE_5/900,False,01,1060,15.501747,15.789608,15.574272,1.5,3.355229,2.122988
CASE_5/900,False,01,1038,3.353729,1.5,2.121026,15.789289,15.501747,15.57612
CASE_5/900,False,01,1059,15.78929,15.501747,15.574111,3.353729,1.5,2.12299
CASE_6/900,False,01,1022,1.603044,3.313203,2.126859,15.402063,15.672623,15.467214
CASE_6/900,False,01,1060,15.402064,15.672624,15.46536,1.603043,3.313202,2.127765
CASE_6/900,False,01,1038,3.311734,1.603148,2.125755,15.672312,15.402074,15.467214
CASE_6/900,False,01,1059,15.672313,15.402075,15.465208,3.311733,1.603148,2.127766
CASE_7/900,False,01,970,1.711578,3.276745,2.140859,15.303037,15.556044,15.358837
CASE_7/900,False,01,999,15.303038,15.556045,15.356977,1.711577,3.276745,2.141889
CASE_7/900,False,01,980,3.275311,1.711773,2.13984,15.555742,15.303059,15.358837
CASE_7/900,False,01,994,15.555743,15.30306,15.356835,3.275311,1.711773,2.14189
CASE_8/900,False,01,970,1.824622,3.246045,2.16403,15.204682,15.43988,15.251002
CASE_8/900,False,01,999,15.204682,15.439881,15.249136,1.824622,3.246045,2.165177
CASE_8/900,False,01,980,3.244649,1.824898,2.1631,15.439587,15.204715,15.251002
CASE_8/900,False,01,994,15.439588,15.204716,15.249004,3.244649,1.824897,2.165178
CASE_9/900,False,01,970,1.94139,3.221266,2.196082,15.10701,15.324141,15.143719
CASE_9/900,False,01,999,15.107011,15.324142,15.141848,1.941389,3.221266,2.197338
CASE_9/900,False,01,980,3.219912,1.941735,2.195241,15.323857,15.107054,15.14372
CASE_9/900,False,01,994,15.323857,15.107055,15.141726,3.219911,1.941734,2.197339
CASE_10/900,False,01,948,1.118599,3.641267,2.237195,16.009596,16.380315,16.128225
CASE_10/900,False,01,967,8.515639,9.193676,8.733263,8.515639,9.193676,8.734958
CASE_10/900,False,01,198,16.009597,16.380316,16.126406,1.118598,3.641267,2.237311
CASE_10/900,False,01,958,3.639654,1.117848,2.235695,16.379956,16.009543,16.128225
CASE_10/900,False,01,972,9.193037,8.515541,8.732879,9.193037,8.515541,8.734959
CASE_10/900,False,01,205,16.379957,16.009544,16.126198,3.639654,1.117847,2.237313
CASE_11/900,False,01,1037,1.170902,3.574713,2.196541,15.906808,16.26143,16.016829
CASE_11/900,False,01,1066,8.510338,9.156059,8.710892,8.510339,9.156059,8.712601
CASE_11/900,False,01,202,15.906809,16.261431,16.015004,1.170901,3.574713,2.196785
CASE_11/900,False,01,1049,3.573117,1.170328,2.195089,16.26108,15.906766,16.016829
CASE_11/900,False,01,1068,9.155436,8.510259,8.710526,9.155436,8.51026,8.712601
CASE_11/900,False,01,211,16.26108,15.906767,16.014805,3.573116,1.170327,2.196787
CASE_12/900,False,01,1037,1.237238,3.512594,2.16438,15.804618,16.142909,15.90591
CASE_12/900,False,01,1066,8.50621,9.119384,8.689614,8.50621,9.119384,8.691337
CASE_12/900,False,01,202,15.804619,16.14291,15.90408,1.237238,3.512594,2.164756
CASE_12/900,False,01,1049,3.511018,1.236831,2.162984,16.142566,15.804586,15.905911
CASE_12/900,False,01,1068,9.118777,8.506151,8.689266,9.118777,8.506151,8.691337
CASE_12/900,False,01,211,16.142567,15.804587,15.90389,3.511018,1.23683,2.164758
CASE_13/900,False,01,1037,1.315487,3.455151,2.141095,15.703036,16.024759,15.795479
CASE_13/900,False,01,1066,8.503256,9.083662,8.669437,8.503256,9.083662,8.671173
CASE_13/900,False,01,202,15.703037,16.02476,15.793643,1.315486,3.455151,2.141605
CASE_13/900,False,01,1049,3.453597,1.315232,2.139762,16.024424,15.703015,15.795479
CASE_13/900,False,01,1068,9.083071,8.503216,8.669108,9.083071,8.503216,8.671174
CASE_13/900,False,01,211,16.024425,15.703016,15.793462,3.453596,1.315231,2.141607
CASE_14/900,False,01,1022,1.403658,3.402619,2.126978,15.602075,15.906989,15.685546
CASE_14/900,False,01,1060,8.501476,9.048904,8.650369,8.501477,9.048904,8.652119
CASE_14/900,False,01,206,15.602076,15.90699,15.683704,1.403657,3.402619,2.127622
CASE_14/900,False,01,1038,3.40109,1.403538,2.125716,15.906662,15.602064,15.685546
CASE_14/900,False,01,1059,9.048329,8.501457,8.650059,9.048329,8.501457,8.652119
CASE_14/900,False,01,218,15.906663,15.602065,15.683532,3.40109,1.403537,2.127624
CASE_15/900,False,01,1022,1.500001,3.355229,2.122212,15.501747,15.789608,15.57612
CASE_15/900,False,01,1060,8.500873,9.015121,8.632417,8.500874,9.015121,8.634181
CASE_15/900,False,01,206,15.501747,15.789608,15.574272,1.5,3.355229,2.122988
CASE_15/900,False,01,1038,3.353729,1.5,2.121026,15.789289,15.501747,15.57612
CASE_15/900,False,01,1059,9.014563,8.500873,8.632126,9.014563,8.500874,8.634181
CASE_15/900,False,01,218,15.78929,15.501747,15.574111,3.353729,1.5,2.12299
CASE_16/900,False,01,1022,1.603044,3.313203,2.126859,15.402063,15.672623,15.467214
CASE_16/900,False,01,1060,8.501447,8.982325,8.615589,8.501447,8.982325,8.617366
