Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
CASE_1/900,False,01,1037,8.332677,8.991166,8.537405,17.918958,18.23449,18.016695
CASE_1/900,False,01,1066,17.918959,18.23449,18.015073,8.332677,8.991166,8.537468
CASE_1/900,False,01,1049,8.990532,8.332597,8.537032,18.234177,17.91892,18.016695
CASE_1/900,False,01,1068,18.234178,17.918921,18.014896,8.990532,8.332596,8.537469
CASE_2/900,False,01,1037,8.342257,8.96665,8.529187,17.828305,18.128872,17.918161
CASE_2/900,False,01,1066,17.828306,18.128873,17.916536,8.342257,8.96665,8.529283
CASE_2/900,False,01,1049,8.966033,8.342197,8.528833,18.128567,17.828277,17.918161
CASE_2/900,False,01,1068,18.128568,17.828277,17.916367,8.966033,8.342197,8.529284
CASE_3/900,False,01,1037,8.354221,8.944304,8.523308,17.738316,18.023746,17.820204
CASE_3/900,False,01,1066,17.738317,18.023746,17.818576,8.354221,8.944303,8.523437
CASE_3/900,False,01,1049,8.943703,8.354181,8.522974,18.023448,17.738297,17.820204
CASE_3/900,False,01,1068,18.023449,17.738298,17.818416,8.943703,8.35418,8.523437
CASE_4/900,False,01,1022,8.368557,8.924142,8.519773,17.649001,17.919119,17.722834
CASE_4/900,False,01,1060,17.649002,17.919119,17.721204,8.368557,8.924142,8.519934
CASE_4/900,False,01,1038,8.923559,8.368537,8.519458,17.918828,17.648992,17.722834
CASE_4/900,False,01,1059,17.918829,17.648993,17.721052,8.923559,8.368537,8.519934
CASE_5/900,False,01,1022,8.385255,8.906181,8.518585,17.560372,17.815,17.626061
CASE_5/900,False,01,1060,17.560372,17.815,17.624428,8.385255,8.906181,8.518778
CASE_5/900,False,01,1038,8.905616,8.385255,8.518289,17.814717,17.560371,17.626061
CASE_5/900,False,01,1059,17.814718,17.560372,17.624285,8.905616,8.385255,8.518778
CASE_6/900,False,01,1022,8.404299,8.890434,8.519744,17.472437,17.711398,17.529894
CASE_6/900,False,01,1060,17.472437,17.711398,17.528259,8.404299,8.890434,8.51997
CASE_6/900,False,01,1038,8.889886,8.404319,8.519468,17.711123,17.472446,17.529895
CASE_6/900,False,01,1059,17.711124,17.472447,17.528125,8.889886,8.404319,8.51997
CASE_7/900,False,01,970,8.425675,8.876912,8.523249,17.385208,17.608322,17.434345
CASE_7/900,False,01,999,17.385208,17.608323,17.432706,8.425675,8.876911,8.523508
CASE_7/900,False,01,980,8.876382,8.425715,8.522993,17.608055,17.385227,17.434345
CASE_7/900,False,01,994,17.608056,17.385228,17.432581,8.876382,8.425714,8.523508
CASE_8/900,False,01,970,8.449364,8.865625,8.529099,17.298695,17.505782,17.339422
CASE_8/900,False,01,999,17.298696,17.505783,17.337781,8.449363,8.865625,8.52939
CASE_8/900,False,01,980,8.865114,8.449423,8.528863,17.505523,17.298724,17.339422
CASE_8/900,False,01,994,17.505524,17.298725,17.337665,8.865114,8.449423,8.52939
CASE_9/900,False,01,970,8.475346,8.856583,8.537287,17.212909,17.403787,17.245137
CASE_9/900,False,01,999,17.21291,17.403788,17.243493,8.475346,8.856582,8.537611
CASE_9/900,False,01,980,8.85609,8.475425,8.537071,17.403536,17.212948,17.245137
CASE_9/900,False,01,994,17.403537,17.212949,17.243386,8.85609,8.475425,8.537611
CASE_10/900,False,01,948,8.325489,9.017834,8.547955,18.010265,18.340589,18.115798
CASE_10/900,False,01,967,11.856585,12.352577,12.013842,11.856585,12.352578,12.015074
CASE_10/900,False,01,198,18.010266,18.34059,18.114178,8.325489,9.017833,8.547986
CASE_10/900,False,01,958,9.017182,8.325388,8.547563,18.340269,18.010219,18.115798
CASE_10/900,False,01,972,12.352102,11.856514,12.013562,12.352102,11.856514,12.015074
CASE_10/900,False,01,205,18.34027,18.010219,18.113993,9.017182,8.325388,8.547986
CASE_11/900,False,01,1037,8.332677,8.991166,8.537405,17.918958,18.23449,18.016695
CASE_11/900,False,01,1066,11.852778,12.324606,11.997589,11.852779,12.324606,11.99883
CASE_11/900,False,01,202,17.918959,18.23449,18.015073,8.332677,8.991166,8.537468
CASE_11/900,False,01,1049,8.990532,8.332597,8.537032,18.234177,17.91892,18.016695
CASE_11/900,False,01,1068,12.324143,11.852722,11.997323,12.324144,11.852722,11.99883
CASE_11/900,False,01,211,18.234178,17.918921,18.014896,8.990532,8.332596,8.537469
CASE_12/900,False,01,1037,8.342257,8.96665,8.529187,17.828305,18.128872,17.918161
CASE_12/900,False,01,1066,11.849815,12.297385,11.982149,11.849815,12.297385,11.983398
CASE_12/900,False,01,202,17.828306,18.128873,17.916536,8.342257,8.96665,8.529283
CASE_12/900,False,01,1049,8.966033,8.342197,8.528833,18.128567,17.828277,17.918161
CASE_12/900,False,01,1068,12.296934,11.849772,11.981897,12.296934,11.849772,11.983398
CASE_12/900,False,01,211,18.128568,17.828277,17.916367,8.966033,8.342197,8.529284
CASE_13/900,False,01,1037,8.354221,8.944304,8.523308,17.738316,18.023746,17.820204
CASE_13/900,False,01,1066,11.847694,12.270917,11.967524,11.847694,12.270918,11.968782
CASE_13/900,False,01,202,17.738317,18.023746,17.818576,8.354221,8.944303,8.523437
CASE_13/900,False,01,1049,8.943703,8.354181,8.522974,18.023448,17.738297,17.820204
CASE_13/900,False,01,1068,12.27048,11.847666,11.967286,12.27048,11.847666,11.968783
CASE_13/900,False,01,211,18.023449,17.738298,17.818416,8.943703,8.35418,8.523437
CASE_14/900,False,01,1022,8.368557,8.924142,8.519773,17.649001,17.919119,17.722834
CASE_14/900,False,01,1060,11.846417,12.24521,11.953718,11.846417,12.24521,11.954985
CASE_14/900,False,01,206,17.649002,17.919119,17.721204,8.368557,8.924142,8.519934
CASE_14/900,False,01,1038,8.923559,8.368537,8.519458,17.918828,17.648992,17.722834
CASE_14/900,False,01,1059,12.244785,11.846403,11.953494,12.244785,11.846403,11.954985
CASE_14/900,False,01,218,17.918829,17.648993,17.721052,8.923559,8.368537,8.519934
CASE_15/900,False,01,1022,8.385255,8.906181,8.518585,17.560372,17.815,17.626061
CASE_15/900,False,01,1060,11.845985,12.220266,11.940734,11.845985,12.220266,11.942009
CASE_15/900,False,01,206,17.560372,17.815,17.624428,8.385255,8.906181,8.518778
CASE_15/900,False,01,1038,8.905616,8.385255,8.518289,17.814717,17.560371,17.626061
CASE_15/900,False,01,1059,12.219854,11.845984,11.940523,12.219855,11.845985,11.942009
CASE_15/900,False,01,218,17.814718,17.560372,17.624285,8.905616,8.385255,8.518778
CASE_16/900,False,01,1022,8.404299,8.890434,8.519744,17.472437,17.711398,17.529894
CASE_16/900,False,01,1060,11.846396,12.196092,11.928574,11.846396,12.196092,11.929857
CASE_16/900,False,01,206,17.472437,17.711398,17.528259,8.404299,8.890434,8.51997
CASE_16/900,False,01,1038,8.889886,8.404319,8.519468,17.711123,17.472446,17.529895
CASE_16/900,False,01,1059,12.195693,11.84641,11.928377,12.195693,11.84641,11.929858
CASE_16/900,False,01,218,17.711124,17.472447,17.528125,8.889886,8.404319,8.51997
CASE_17/900,False,01,970,8.425675,8.876912,8.523249,17.385208,17.608322,17.434345
CASE_17/900,False,01,999,11.847651,12.172691,11.917241,11.847652,12.172691,11.918532
CASE_17/900,False,01,211,17.385208,17.608323,17.432706,8.425675,8.876911,8.523508
CASE_17/900,False,01,980,8.876382,8.425715,8.522993,17.608055,17.385227,17.434345
CASE_17/900,False,01,994,12.172305,11.84768,11.917058,12.172305,11.84768,11.918532
CASE_17/900,False,01,221,17.608056,17.385228,17.432581,8.876382,8.425714,8.523508
CASE_18/900,False,01,970,8.449364,8.865625,8.529099,17.298695,17.505782,17.339422
CASE_18/900,False,01,999,11.849751,12.150068,11.906736,11.849751,12.150068,11.908036
CASE_18/900,False,01,211,17.298696,17.505783,17.337781,8.449363,8.865625,8.52939
CASE_18/900,False,01,980,8.865114,8.449423,8.528863,17.505523,17.298724,17.339422
CASE_18/900,False,01,994,12.149695,11.849793,11.906567,12.149695,11.849793,11.908036
CASE_18/900,False,01,221,17.505524,17.298725,17.337665,8.865114,8.449423,8.52939
CASE_19/900,False,01,970,8.475346,8.856583,8.537287,17.212909,17.403787,17.245137
CASE_19/900,False,01,999,11.852693,12.128227,11.897064,11.852694,12.128228,11.898371
CASE_19/900,False,01,211,17.21291,17.403788,17.243493,8.475346,8.856582,8.537611
CASE_19/900,False,01,980,8.85609,8.475425,8.537071,17.403536,17.212948,17.245137
CASE_19/900,False,01,994,12.127868,11.85275,11.896908,12.127868,11.85275,11.898372
CASE_19/900,False,01,221,17.403537,17.212949,17.243386,8.85609,8.475425,8.537611
CASE_20/900,False,01,948,8.325489,9.017834,8.547955,18.010265,18.340589,18.115798
CASE_20/900,False,01,967,10.213753,10.78556,10.39589,13.760065,14.189677,13.897211
CASE_20/900,False,01,239,13.760065,14.189677,13.895796,10.213753,10.78556,10.396848
CASE_20/900,False,01,235,18.010266,18.34059,18.114178,8.325489,9.017833,8.547986
CASE_20/900,False,01,958,9.017182,8.325388,8.547563,18.340269,18.010219,18.115798
CASE_20/900,False,01,972,10.785016,10.213671,10.395567,14.189264,13.760004,13.897211
CASE_20/900,False,01,235,14.189263,13.760004,13.895555,10.785016,10.213671,10.396848
CASE_20/900,False,01,241,18.34027,18.010219,18.113993,9.017182,8.325388,8.547986
CASE_21/900,False,01,1037,8.332677,8.991166,8.537405,17.918958,18.23449,18.016695
CASE_21/900,False,01,1066,10.228961,10.772149,10.396414,13.730143,14.139462,13.856766
CASE_21/900,False,01,244,13.730143,14.139462,13.855346,10.228961,10.77215,10.397386
CASE_21/900,False,01,241,17.918959,18.23449,18.015073,8.332677,8.991166,8.537468
CASE_21/900,False,01,1049,8.990532,8.332597,8.537032,18.234177,17.91892,18.016695
CASE_21/900,False,01,1068,10.77162,10.228895,10.396107,14.139059,13.730095,13.856766
CASE_21/900,False,01,242,14.139059,13.730094,13.855116,10.77162,10.228895,10.397386
CASE_21/900,False,01,248,18.234178,17.918921,18.014896,8.990532,8.332596,8.537469
CASE_22/900,False,01,1037,8.342257,8.96665,8.529187,17.828305,18.128872,17.918161
CASE_22/900,False,01,1066,10.245232,10.759755,10.398007,13.700967,14.089856,13.817006
CASE_22/900,False,01,244,13.700968,14.089857,13.815582,10.245231,10.759755,10.398993
CASE_22/900,False,01,241,17.828306,18.128873,17.916536,8.342257,8.96665,8.529283
CASE_22/900,False,01,1049,8.966033,8.342197,8.528833,18.128567,17.828277,17.918161
CASE_22/900,False,01,1068,10.759241,10.245182,10.397717,14.089464,13.70093,13.817006
CASE_22/900,False,01,242,14.089464,13.700931,13.815363,10.75924,10.245182,10.398993
CASE_22/900,False,01,248,18.128568,17.828277,17.916367,8.966033,8.342197,8.529284
CASE_23/900,False,01,1037,8.354221,8.944304,8.523308,17.738316,18.023746,17.820204
