id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
15311,1,15.992144,-145.858053,1068.225333,16.389308,16.135617,16.018202
15312,1,12.241708,-145.858053,317.644,12.752892,12.425176,12.272542
15313,1,8.491271,-145.858053,204.045,9.208401,8.748908,8.531081
15314,1,4.740834,-145.858053,313.396667,5.923226,5.180091,4.803637
15315,1,0.990397,-145.858053,1045.468667,3.675065,2.292344,1.225592
15316,1,15.992144,-144.524439,1442.526,16.157089,16.025015,16.032049
15317,1,12.241708,-144.524439,356.694,12.453046,12.281203,12.29061
15318,1,8.491271,-144.524439,219.655,8.788445,8.543204,8.557052
15319,1,4.740834,-144.524439,353.506667,5.24659,4.824551,4.849611
15320,1,0.990397,-144.524439,1421.833333,2.438895,1.302994,1.394944
15321,1,15.992144,-143.190824,1442.059333,16.0328,16.025015,16.156344
15322,1,12.241708,-143.190824,351.594,12.29136,12.281203,12.452306
15323,1,8.491271,-143.190824,220.940556,8.557799,8.543205,8.787717
15324,1,4.740834,-143.190824,350.916,4.850347,4.824551,5.24591
15325,1,0.990397,-143.190824,1420.432667,1.395482,1.302995,2.438588
15326,1,15.992144,-141.85721,1061.685333,16.018954,16.135618,16.388574
15327,1,12.241708,-141.85721,314.188,12.273294,12.425176,12.75217
15328,1,8.491271,-141.85721,205.242778,8.531831,8.748909,9.207707
15329,1,4.740834,-141.85721,311.645333,4.804382,5.180092,5.922623
15330,1,0.990397,-141.85721,1040.069333,1.226207,2.292346,3.674862
15331,1.1,15.892144,-145.758053,1068.225333,16.270484,16.024275,15.915471
15332,1.1,12.191708,-145.758053,317.644,12.677673,12.360102,12.21894
15333,1.1,8.491271,-145.758053,204.045,9.170854,8.726586,8.525799
15334,1.1,4.790834,-145.758053,313.396667,5.905271,5.188541,4.843808
15335,1.1,1.090397,-145.758053,1045.468667,3.609201,2.252793,1.273639
15336,1.1,15.892144,-144.491105,1445.973,16.053582,15.92379,15.934012
15337,1.1,12.191708,-144.491105,360.553,12.398074,12.229547,12.243081
15338,1.1,8.491271,-144.491105,218.709167,8.780286,8.540667,8.560361
15339,1.1,4.790834,-144.491105,355.032,5.278359,4.869358,4.904387
15340,1.1,1.090397,-144.491105,1422.704,2.452587,1.365564,1.487511
15341,1.1,15.892144,-143.224158,1438.795,15.934763,15.92379,16.052837
15342,1.1,12.191708,-143.224158,354.743,12.243831,12.229547,12.397334
15343,1.1,8.491271,-143.224158,219.823333,8.561108,8.540668,8.779558
15344,1.1,4.790834,-143.224158,354.147,4.905123,4.869359,5.277675
15345,1.1,1.090397,-143.224158,1422.612,1.488067,1.365565,2.452251
15346,1.1,15.892144,-141.95721,1061.685333,15.916223,16.024276,16.269749
15347,1.1,12.191708,-141.95721,314.188,12.219692,12.360102,12.676949
15348,1.1,8.491271,-141.95721,205.242778,8.52655,8.726587,9.170157
15349,1.1,4.790834,-141.95721,311.645333,4.844554,5.188542,5.90466
15350,1.1,1.090397,-141.95721,1040.069333,1.27429,2.252794,3.608974
15351,1.2,15.792144,-145.658053,1151.5725,16.152025,15.913411,15.813337
15352,1.2,12.141708,-145.658053,315.2075,12.602996,12.2957,12.166129
15353,1.2,8.491271,-145.658053,204.648333,9.134248,8.705356,8.521688
15354,1.2,4.840834,-145.658053,308.41,5.889383,5.199382,4.886207
15355,1.2,1.190397,-145.658053,1125.428333,3.547755,2.221555,1.335005
15356,1.2,15.792144,-144.457772,1376.145833,15.950101,15.82262,15.83607
15357,1.2,12.141708,-144.457772,347.505833,12.343149,12.177968,12.195663
