Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
15900,False,1,1059,15.57612,15.501747,15.789289,2.121026,1.5,3.353729
15900,False,1,218,8.634181,8.500874,9.014563,8.632126,8.500873,9.014563
15900,False,1,1022,2.12299,1.5,3.353729,15.574111,15.501747,15.78929
16900,False,1,1060,15.467214,15.672623,15.402063,2.126859,3.313203,1.603044
16900,False,1,206,8.617366,8.982325,8.501447,8.615589,8.982325,8.501447
16900,False,1,1038,2.127765,3.313202,1.603043,15.46536,15.672624,15.402064
16900,False,1,1059,15.467214,15.402074,15.672312,2.125755,1.603148,3.311734
16900,False,1,218,8.617366,8.501467,8.981783,8.615317,8.501466,8.981783
16900,False,1,1022,2.127766,1.603148,3.311733,15.465208,15.402075,15.672313
17900,False,1,999,15.358837,15.556044,15.303037,2.140859,3.276745,1.711578
17900,False,1,211,8.601681,8.950526,8.503196,8.599891,8.950526,8.503196
17900,False,1,980,2.141889,3.276745,1.711577,15.356977,15.556045,15.303038
17900,False,1,994,15.358837,15.303059,15.555742,2.13984,1.711773,3.275311
17900,False,1,221,8.601681,8.503236,8.950001,8.599637,8.503236,8.950001
17900,False,1,970,2.14189,1.711773,3.275311,15.356835,15.30306,15.555743
18900,False,1,999,15.251002,15.43988,15.204682,2.16403,3.246045,1.824622
18900,False,1,211,8.587131,8.919734,8.506121,8.585329,8.919734,8.506121
18900,False,1,980,2.165177,3.246045,1.824622,15.249136,15.439881,15.204682
18900,False,1,994,15.251002,15.204715,15.439587,2.1631,1.824898,3.244649
18900,False,1,221,8.587132,8.50618,8.919226,8.585095,8.50618,8.919226
18900,False,1,970,2.165178,1.824897,3.244649,15.249004,15.204716,15.439588
19900,False,1,999,15.143719,15.324141,15.10701,2.196082,3.221266,1.94139
19900,False,1,211,8.573724,8.889961,8.51022,8.571909,8.889961,8.51022
19900,False,1,980,2.197338,3.221266,1.941389,15.141848,15.324142,15.107011
19900,False,1,994,15.14372,15.107054,15.323857,2.195241,1.941735,3.219912
19900,False,1,221,8.573724,8.510299,8.88947,8.571694,8.510299,8.88947
19900,False,1,970,2.197339,1.941734,3.219911,15.141726,15.107055,15.323857
20900,False,1,967,16.128225,16.380315,16.009596,2.237195,3.641267,1.118599
20900,False,1,239,11.183468,11.544888,11.012578,6.325506,6.94736,6.021482
20900,False,1,235,6.32708,6.94736,6.021483,11.181711,11.544888,11.012578
20900,False,1,958,2.237311,3.641267,1.118598,16.126406,16.380316,16.009597
20900,False,1,972,16.128225,16.009543,16.379956,2.235695,1.117848,3.639654
20900,False,1,235,11.183469,11.012502,11.54438,6.324976,6.021343,6.946515
20900,False,1,241,6.327081,6.021343,6.946515,11.181411,11.012502,11.544379
20900,False,1,948,2.237313,1.117847,3.639654,16.126198,16.009544,16.379957
21900,False,1,1066,16.016829,16.26143,15.906808,2.196541,3.574713,1.170902
21900,False,1,244,11.133169,11.483114,10.975169,6.326367,6.926522,6.047243
21900,False,1,241,6.327965,6.926522,6.047243,11.131402,11.483114,10.975169
21900,False,1,1049,2.196785,3.574713,1.170901,16.015004,16.261431,15.906809
21900,False,1,1068,16.016829,15.906766,16.26108,2.195089,1.170328,3.573117
21900,False,1,242,11.13317,10.975108,11.482617,6.325864,6.047132,6.925698
21900,False,1,248,6.327965,6.047132,6.925699,11.131116,10.975108,11.482617
21900,False,1,1037,2.196787,1.170327,3.573116,16.014805,15.906767,16.26108
22900,False,1,1066,15.90591,16.142909,15.804618,2.16438,3.512594,1.237238
22900,False,1,244,11.083644,11.421977,10.938647,6.328985,6.907231,6.074724
22900,False,1,241,6.330604,6.90723,6.074723,11.081868,11.421978,10.938648
22900,False,1,1049,2.164756,3.512594,1.237238,15.90408,16.14291,15.804619
22900,False,1,1068,15.905911,15.804586,16.142566,2.162984,1.236831,3.511018
22900,False,1,242,11.083644,10.938601,11.421492,6.328508,6.074641,6.906429
22900,False,1,248,6.330605,6.07464,6.906428,11.081595,10.938602,11.421493
22900,False,1,1037,2.164758,1.23683,3.511018,15.90389,15.804587,16.142567
23900,False,1,1066,15.795479,16.024759,15.703036,2.141095,3.455151,1.315487
23900,False,1,244,11.034903,11.36149,10.903022,6.333355,6.889497,6.103901
23900,False,1,241,6.334998,6.889497,6.103902,11.033117,11.36149,10.903022
23900,False,1,1049,2.141605,3.455151,1.315486,15.793643,16.02476,15.703037
23900,False,1,1068,15.795479,15.703015,16.024424,2.139762,1.315232,3.453597
23900,False,1,242,11.034904,10.902991,11.361018,6.332905,6.103846,6.888718
23900,False,1,248,6.334998,6.103846,6.888718,11.032859,10.902991,11.361017
23900,False,1,1037,2.141607,1.315231,3.453596,15.793462,15.703016,16.024425
24900,False,1,1060,15.685546,15.906989,15.602075,2.126978,3.402619,1.403658
24900,False,1,248,10.986958,11.301663,10.868303,6.339476,6.873335,6.134751
24900,False,1,249,6.34114,6.873335,6.134751,10.985162,11.301662,10.868303
24900,False,1,1038,2.127622,3.402619,1.403657,15.683704,15.90699,15.602076
24900,False,1,1059,15.685546,15.602064,15.906662,2.125716,1.403538,3.40109
24900,False,1,244,10.986959,10.868288,11.301202,6.339052,6.134724,6.872578
24900,False,1,250,6.34114,6.134724,6.872578,10.984918,10.868288,11.301202
24900,False,1,1022,2.127624,1.403537,3.40109,15.683532,15.602065,15.906663
25900,False,1,1060,15.57612,15.789608,15.501747,2.122212,3.355229,1.500001
25900,False,1,248,10.939818,11.242504,10.834498,6.347342,6.858756,6.16725
25900,False,1,249,6.349026,6.858755,6.167249,10.938013,11.242505,10.834498
25900,False,1,1038,2.122988,3.355229,1.5,15.574272,15.789608,15.501747
25900,False,1,1059,15.57612,15.501747,15.789289,2.121026,1.5,3.353729
25900,False,1,244,10.939818,10.834498,11.242057,6.346945,6.167249,6.858022
25900,False,1,250,6.349027,6.167249,6.858021,10.937783,10.834498,11.242057
25900,False,1,1022,2.12299,1.5,3.353729,15.574111,15.501747,15.78929
26900,False,1,1060,15.467214,15.672623,15.402063,2.126859,3.313203,1.603044
26900,False,1,248,10.893494,11.184027,10.801616,6.356945,6.845767,6.201369
26900,False,1,249,6.358651,6.845768,6.201369,10.89168,11.184027,10.801616
